马来,#genre#
双星,http://50.7.220.74:8278/Shuangxing/playlist.m3u8?tid=m02000000000010638087&ct=17957&tsum=16035284df542c2d54efaee5e47bc535#P2p://ns2.hellotvvod.com:9906/6e93d77607e146feae36fa897222fbaf.ts
双星-2,http://iptv12k.com:35461/8032022060101/452381/706
AOD,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/264512
小太阳,http://iptv12k.com:35461/8032022060101/452381/700
AWANI,http://50.7.220.74:8278/Awani/playlist.m3u8?tid=m02000000000010117437&ct=17958&tsum=ffc03caf973a4c8871e4a8a18211b037#https://awanitv.akamaized.net/hls/live/2017836/LiveTV1/index.m3u8#https://awanitv.akamaized.net/hls/live/2017836/LiveTV1/stream04/streamPlaylist.m3u8
Bernama TV,http://acc2.aatvbox.club:8880/trmall/trmall0308/1717
Berita RTM,https://rtmlive03tv.secureswiftcontent.com/rtmchannel/03-manifest.mpd
AL JAZEERA,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv10&nid=85#http://45.126.83.51/qwr9ew/s/s17/index.m3u8#http://live-hls-web-aje.getaj.net/AJE/01.m3u8#P2p://ns2.hellotvvod.com:9906/fa8b443dfb8343ec8115e6b415218ca2.ts
TV8,http://acc2.aatvbox.club:8880/trmall/trmall0308/1730#https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/8TV.m3u8#https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/8TV.m3u8


香港,#genre#
凤凰中文,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/17#http://111.59.189.40:8445/tsfile/live/1020_1.m3u8#http://117.169.120.138:8080/live/fhchinese/index.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1#http://120.84.96.32:808/hls/29/index.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/16#http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/18#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://39.135.55.7:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://111.59.189.40:8445/tsfile/live/1021_1.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8#http://117.169.120.138:8080/live/fhzixun/index.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1#http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰香港,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzeye785m1oylb49vvydnP6RY#http://50.7.220.74:8278/hkphoenix_twn/playlist.m3u8?tid=m02000000000018250733&ct=18001&tsum=e70ca7acd14b287077a17bb5a2fd3cb2#http://120.84.96.29:808/hls/81/index.m3u8#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://120.84.96.32:808/hls/81/index.m3u8
無綫新聞台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/3#http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze5uSEj2QgX70JGc2TYZz3FM#https://hdl-ws.zego.wakavideos.com/wakavideos/a141d8253f57dc0c12e89ed8ef69a908.flv#http://ott3.alwaysdata.net/live/hk.php?id=3?WithCaption#http://livesec.mudu.tv/watch/0t5ejs.m3u8#http://iptv.tvfix.org/hls/inews2.m3u8#http://50.7.218.42:8278/inews_twn/playlist.m3u8?tid=m2206a7a6925a&ct=18336&tsum=47d564f6425ee7ceb9ff1ed026f89669#http://ye23.win/iptv/tvb.php?id=1#http://iptv.tvfix.org/hls/inews.m3u8#https://nettvpro.live/hls/tvb.php?id=1#http://185.207.176.189:8080/channels/tv-83/playlist.m3u8#http://livetv.dnsfor.me/channel.10.m3u8#http://kkmix1.f3322.net:762/hls/ch2/s.m3u8#https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8#http://111.229.84.232/yulin/tvb.php?id=1
有線新聞台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/4##https://dm1133.kglink.xyz/live/03#https://dm1133.kglink.xyz/live/03#P2p://860969650:9906/a8429ecad2e446e18c362b031e3d32bf
有線直播新聞台,P2p://860969650:9906/eede001be16e4991843619bb8af3f840
Now新聞,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/5#http://livetv.dnsfor.me:80/channel.4.m3u8#http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze1P1tCEvxtJGORQfaAsIrPk#http://51.222.193.142:10011/9#http://livetv.dnsfor.me/channel.4.m3u8#http://livetv.dnsfor.me/channel.3.m3u8#http://43.129.29.150:84/pls/tv/NOWxwt/4a8e2449f42407702a3acb4eafa2d2bd.m3u8#https://www.navchina.cf/IPTV/now.php?id=332#rtmp://v3948069e.live.126.net/live/rN9gY7BW5dd2gO7zKoOV1tP8kU4cT8xH22/22#http://212.95.133.2/tv/js.php?id=20#http://ye23.win/iptv/tvb.php?id=1#http://119.29.145.154:9999/hh.php?tid=gt&id=16
Now直播新聞台,http://livetv.dnsfor.me/channel.3.m3u8#http://livetv.dnsfor.me:80/channel.3.m3u8#https://www.navchina.cf/IPTV/now.php?id=331
Now Jelli,http://jlwmedia.xyz:2052/vandoorne/vandoorne123/2599343
翡翠台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/1#http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze19nX0CPUCMayWc4hh8Svqw#https://hdl-ws.zego.wakavideos.com/wakavideos/f1b9647e99b4feec70f806625bfe7106.flv#http://ott3.alwaysdata.net/live/hk.php?id=1?WithCaption#http://50.7.218.42:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac#http://iptv.tvfix.org/hls/jade.m3u8@http://liue.usa7.20212021.ga/ns.php?id=78
Horse Racing 89,mitv://ns2.hellotvvod.com:9906/407c4f25a08e4c79bc7f55e17c9b79ec.ts
J2,http://50.7.220.74:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e#http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/10#https://tx-b2.xsafetech.com/live/11666.m3u8#http://cms750.synology.me:8001/bysid/82#https://hdl-ws.zego.wakavideos.com/wakavideos/12dc5c497fe7d3fcefa25721282fd006.flv?WithCaption#http://ott3.alwaysdata.net/live/hk.php?id=2?WithCaptio#http://iptv.tvfix.org/hls/j2.m3u8#http://iptv.tvfix.org/hls/j22.m3u8#http://50.7.218.42:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e#https://tx-b2.xsafetech.com/live/11666.m3u8#http://120.84.96.32:808/hls/86/index.m3u8#https://h.youtalk.top/hkj2b/49.m3u8#https://bf.kanjc.com/11666/11666.m3u8#http://198.204.239.194:27347/livehlsplay?channel_id=20057
J5,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/2#http://ott3.alwaysdata.net/live/hk.php?id=4?WithCaption#http://iptv.tvfix.org/hls/pearl2.m3u8#http://iptv.tvfix.org/hls/pearl.m3u8#http://qwas.eatuo.com:9901/tsfile/live/1014_1.m3u8
香港开电视,http://livetv.dnsfor.me/channel.9.m3u8#http://ott3.alwaysdata.net/live/hk.php?id=11?WithCaption#http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8#http://iptv.tvfix.org/hkdtmb/77/index.m3u8
RTHK31,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/13#http://ott3.alwaysdata.net/live/hk.php?id=6?WithCaption#https://dm1133.kglink.xyz/live/07#http://iptv.tvfix.org/hls/rthk31.m3u8
RTHK32,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/14#https://dm1133.kglink.xyz/live/08#https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8#https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8#http://50.7.218.42:8278/rhk32_twn/playlist.m3u8?tid=m941409fa5c86&ct=18336&tsum=af847919dbe19ba95dbe614c6cfe2a10
RTHK33,http://ott3.alwaysdata.net/live/hk.php?id=8?WithCaption
ViuTV,http://50.7.220.74:8278/9ae6d37d9a/playlist.m3u8?tid=m7728dbb8abe7&ct=18336&tsum=6b7f957f06b7cfabd928653808a52514#https://j2.lhlh.app/mv.m3u8#http://ott3.alwaysdata.net/live/hk.php?id=9?WithCaption#http://50.7.218.42:8278/9ae6d37d9a/playlist.m3u8?tid=m7728dbb8abe7&ct=18336&tsum=6b7f957f06b7cfabd928653808a52514#http://iptv.tvfix.org/hls/viutv2.m3u8#http://iptv.tvfix.org/hls/viutv.m3u8
ViuTV-6,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/7#http://ott3.alwaysdata.net/live/hk.php?id=10?WithCaption#http://iptv.tvfix.org/hls/viutv6.m3u#http://iptv.tvfix.org/hkdtmb/96/index.m3u8
無綫財經資訊台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/8#http://ott3.alwaysdata.net/live/hk.php?id=5?WithCaption#https://dm1133.kglink.xyz/live/02#http://www.nettvpro.live/hls/tvb.php?id=2#http://ye23.win/iptv/tvb.php?id=2
有綫財經資訊台,http://hk.crtv.store:80/h9LfGk6jVB/WXcrtv2020/9#https://dm1133.kglink.xyz/live/04
Now财经台,P2p://ns2.hellotvvod.com:9906/ffc64306a1c9485898c52d9a94e49fe1.ts
香港卫视,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
无线娱乐,mitv://ns2.hellotvvod.com:9906/76c51c3849e44a508e6f239c72fcddb2.ts#http://iptv12k.com:35461/8022022301/468985/697
有线娱乐,mitv://ns2.hellotvvod.com:9906/17112e5ca5e7410291080fd7120ebd84.ts#P2p://ns2.hellotvvod.com:9906/38f258cee2ae485fb1b2e67800d7baea.ts


台湾,#genre#
民視第一台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv003&nid=1
民視台灣台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv001&nid=2
民視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3
大愛電視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live007&nid=209
中視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4
華視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6
三立綜合台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live207&nid=169
客家電視台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv043&nid=107
新唐人亞太台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live050&nid=223
ARIRANG阿里郎頻道,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv079&nid=189
LiveABC互動英語頻道,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live030&nid=188
ELTV生活英語台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn20&nid=106
MOMO親子台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live107&nid=231
東森購物一台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live047&nid=173
鏡電視新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268
東森新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
民視新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
三立財經新聞iNEWS,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live089&nid=229
TVBS新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
東森財經新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live019&nid=211
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
中天新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
SBN全球財經台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live060&nid=224
東森購物二台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live046&nid=174
民視綜藝台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv004&nid=16
豬哥亮歌廳秀,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv006&nid=113
中天全民最大黨,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live076&nid=248
智林體育台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv101&nid=58
時尚運動X,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv014&nid=69
民視旅遊台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv07&nid=61
滾動力rollor,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live012&nid=249
亞洲旅遊台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn17&nid=250
LUXE TV Channel,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live121&nid=175
中天美食旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live123&nid=251
公視戲劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv042&nid=7
民視影劇台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv09&nid=24
金光布袋戲,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live144&nid=236
好消息2台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv17&nid=8
人間衛視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live008&nid=210
半島國際新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv10&nid=85
VOA美國之音,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv03&nid=86
DW德國之聲,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live071&nid=226
經典電影台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live021&nid=201
經典卡通台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live022&nid=202
精選動漫台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live024&nid=204
華語戲劇台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live005&nid=244
華語綜藝台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live006&nid=245

旅遊,#genre#
靖天國際,mitv://ns2.hellotvvod.com:9906/621636a63b57478da76618a49b53a9db.ts#p5p://45.92.126.18:9906/60bd140b000e6170094be86cd1b01e57#P2p://ns2.hellotvvod.com:9906/c46a12c1181d4a9bb62b95c066be87db.ts
亞洲旅遊台,http://50.7.220.74:8278/asiatravel_twn/playlist.m3u8?tid=m02000000000012865686&ct=17955&tsum=9e51c9e9e3a6cd6bf4d30373674a6e7b#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn17&nid=250#http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-longturn17&nid=250
EYE TV旅遊,http://50.7.220.74:8278/eyetvtravel_twn/playlist.m3u8?tid=m3e96290c929116279255&ct=17874&tsum=7c060d25738e52e57372f408b9ccd0bc#http://50.7.218.42:8278/eyetvtravel_twn/playlist.m3u8?tid=m3e96290c929116279255&ct=17874&tsum=7c060d25738e52e57372f408b9ccd0bc
民視旅游,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv07&nid=61#https://4gtvfreepc-mozai.4gtv.tv/vwMz3KQqstSe6CHeVyQGar9enOY436Jb48M4rlxnqdY%3d/stream2.m3u8?token=NOZBA-S8UYDKIl80CWp3qg&expires=1650441320&refer=NjI3OTY3NGMtZmZmOS00N2M0LWIyYTMtMWQ3MjdkNzcyMDAw&token1=EwZCWUD9IwwbzlBk0eaRVw&expires1=1650441320&y=0&vt=
GoodTV 爱旅行台,https://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch11-2.m3u8
Gloabal Travel,http://117.148.179.154/PLTV/88888888/224/3221231712/index.m3u8#http://117.148.179.154/PLTV/88888888/224/3221231712/1.m3u8
爱旅行,http://111.11.123.49:6610/000000001000/6000000006000250630/1.m3u8?Contentid=6000000006000250630&livemode=1&stbId=3&channel-id=wasusyt#http://111.40.196.37/0000000000001000/1.m3u8?Contentid=6000000006000250630&livemode=1&stbId=3&channel-id=wasusyt
欧洲环游,http://42.56.91.136:80/live-bvc/285487/live_68057278_4570624.m3u8
云游日本,http://bp-caster.bestv.com.cn/514/1/video.m3u8
Travel旅游頻道,mitv://ns2.hellotvvod.com:9906/d219b74024294360ac8e4d1e4db22869.ts#p5p://45.92.126.18:9906/604944bf0002e33c14476d50e1deb4e1.ts
Disvovery Asia,https://vips-livecdn.fptplay.net/hda2/discoveryasia_vhls.smil/chunklist_b5000000.m3u8
TLC旅遊生活,http://125.227.210.55:19020/VideoInput/play.ts#http://125.227.210.37:19020/VideoInput/play.ts#P2p://ns2.hellotvvod.com:9906/df3c8d2c1a38422abb36710efd9acf66.ts
Travel Channel,P2p://ns2.hellotvvod.com:9906/e198a9c5efab4e39939bd535ffd1f59b.ts
环球旅游,http://117.148.179.154/PLTV/88888888/224/3221231712/index.m3u8
Go Travel,https://dai2.xumo.com/amagi_hls_data_xumo1212A-redboxgotraveler/CDN/playlist.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/360p.m3u8#http://yd-m-l.cztv.com/channels/lantian/channel12/360p.m3u8
四海釣魚,http://117.148.179.159/PLTV/88888888/224/3221231718/index.m3u8
快乐垂钓,http://39.134.19.234:6610/yinhe/2/ch00000090990000002264/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225780/index.m3u8?fmt=ts2hls#http://58.20.64.92:9998/tsfile/live/1030_1.m3u8#http://183.196.25.171:808/hls/64/index.m3u8#http://58.51.112.35:8888/rtp/239.69.1.142:10488#http://39.135.55.105:6610/PLTV/88888888/224/3221226940/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227028/index.m3u8?servicetype=1
緯來日本,mitv://ns2.hellotvvod.com:9906/e04ee36381e54967b1719adb964bc70d.ts#rtmp://59.124.75.157/sat/tv771#rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771#http://50.7.61.147:30080/Entry/vljp#rtmp://59.124.75.136/sat/tv771#http://xiaojun.cyou/code/?code=iptv800&id=69#rtmp://161.202.204.248:1935/sat/tv521#rtmp://161.202.204.248:1935/sat/tv522#rtmp://59.124.75.153/sat/tv521#rtmp://59.124.75.153/sat/tv522#rtmp://161.202.204.248/sat/tv521#rtmp://161.202.204.248/sat/tv522#rtmp://59.124.75.138/sat/tv771#mitv://51.81.90.178:9906/f89c51e091594bb1bcce0ba7b3e17973#P2p://ns2.hellotvvod.com:9906/45e1f7d77e154dfc9d3b85fbf67070c7.ts#rtmp://219.80.97.35/sat/tv771
緯來育乐,mitv://ns2.hellotvvod.com:9906/62996e6e17b44b89a4aaa378103156cd.ts#rtmp://59.124.75.157/sat/tv701#rtmp://219.80.97.35/sat/tv701
國興衛視,mitv://ns2.hellotvvod.com:9906/a27ba50463934339bea55b098fd10d3e.ts#P2p://ns2.hellotvvod.com:9906/2a6d724e50124559a6a5624fb0cb8acd.ts
龙华日韩,http://59.125.101.187:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8#http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
靖天日本,mitv://ns2.hellotvvod.com:9906/e7713d137980443191b03e865e5777e1.ts#p5p://45.92.126.18:9906/6045b8aa000389cf066c3b7385e82ede.ts%20#P2p://ns2.hellotvvod.com:9906/076018c0cf824ebca4f045d3071dd49a.ts
曼迪日本,http://50.7.218.42:8278/mandijapan_twn/playlist.m3u8?tid=m73455fadd59216060535&ct=17874&tsum=4cb9ddd0c0565e38fc45ee70e42633a8#p5p://45.92.126.18:9906/6068a12900029e3a13556dc2ad58c3d5.ts


美食-1,#genre#
全纪实HD,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8#http://iptv.tvfix.org/hls/qjshd.m3u8
Nyonya Cooking,https://www.youtube.com/c/nyonyacooking/playlists.m3u8|Referer=https://www.youtube.com
亞洲美食AFN,https://vips-livecdn.fptplay.net/hda1/afchd_vhls.smil/chunklist_b5000000.m3u8#https://livecdn.fptplay.net/hda1/afchd_vhls.smil/chunklist_b5000000.m3u8#https://vips-livecdn.fptplay.net/hda1/afchd_vhls.smil/chunklist_b1200000.m3u8#P2p://ns2.hellotvvod.com:9906/c3c6af00613e456eac023ab2f1cbbe7c.ts
美食厨房-1(智能解),http://akmcdnoversea.inter.iqiyi.com/tslive/l1/c56_lb_182_600_t10/ScYGYjfaQwU8vpqEOH848lRJcXTFbFScsCCR0lIDG8mqCWS8nZBAhRvdqCqrSPShvLqu5vhYtIkMYKg0UnIExbbsMlHd0z3QSLMng5Etwd0Zq1lBo8D9y5kMMexJujAj/1e87becf5c6e831194ce19724b08eebc0/c56_lb_182_600_t10.m3u8?key=046e9ae13fedccb0eab97af9d7de28ba0&dis_t=1651215070&z=akm_oversea&pv=0.2
美食厨房-2(智能解),http://akmcdnoversea.inter.iqiyi.com/tslive/l1/c56_lb_182_600_t10/wkzSSQRdu3Yk266IzyJLshYkvhyEUR9YTKaGbd1X3RHWwYymoj_EpUWLbxPjfuKuM6AtJ1PMe5fk6P0e669XBxa_4cd2NroyW6KDx_AdsRVTw0Khog5gAba25cqRqWaG/1c498ebf993b8b8ce2d30ad8a55dadb5f/c56_lb_182_600_t10.m3u8?key=046e9ae13fedccb0e4fd68aae7003937a&dis_t=1651214595&z=akm_oversea&pv=0.2
美食星球,P2p://ns2.hellotvvod.com:9906/5e8e336ad66b47b899546fa4556f7e31.ts
中天美食旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live123&nid=251#https://4gtvfree-mozai.4gtv.tv/Oc5b4KlVfO4WBJJ1aZkycT6cG7g9KzQWIPJVYKbUR7A%3d/stream2.m3u8?token=bbKGPUHTwvn6JFb5q3eDXQ&expires=1650434307&refer=NjA5YzI5YzItZTg0OS00OWM2LTkxY2QtN2RiNDg0YzBkYWNj&token1=IWaQipC5EugFVD4fZhgNTg&expires1=1650434307&y=0&vt=
老广的味道，http://akmcdnoversea.inter.iqiyi.com/tslive/l1/c56_lb_182_600_t10/1sHOZtjdtQeqd2neLHoWsL8Qu_9XSa8SBk069ouyYsfmsuqnTwk-t8y3ysMzjVopY2swzbeY2u6VM-xENkmxpbwxZpYHqUP6bn_mWW_4H1nTn3IiLjxMAocUo_HKXTUS/14454fcc378fab128570f7a7c0667dfc9/c56_lb_182_600_t10.m3u8?key=0cad0721217f6a11ad09559b935b3cf79&dis_t=1645540582&z=akm_oversea&pv=0.2
李子柒美食,https://www.youtube.com/playlist?list=PLPJbGPTBfsdPCQZ0HWGngmRID5Fr9YpgN|Referer=https://www.youtube.com#http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8#http://bd.flv.huya.com/src/1199512837905-1199512837905-5226813369159254016-2399025799266-10057-A-0-1.flv?wsSecret=ee5428509b439045e776a58f87cc2f63&wsTime=61233471&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=tars_mobile&txyp=o%3An9%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*&t=103#http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8#https://www.youtube.com/playlist?list=PLPJbGPTBfsdPCQZ0HWGngmRID5Fr9YpgN|Referer=https://www.youtube.com
中华美食(智能解),http://39.135.138.58:18890/PLTV/88888888/224/3221225924/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225924/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000129&playtoken=ABCDEFGH&auth=no
CCTV世界地理,http://117.148.179.160/PLTV/88888888/224/3221231537/index.m3u8
随手做美食,http://epg.112114.xyz/douyu/9615087#http://dyscdnali1.douyucdn.cn/live/9615087rSP9QV3h8.flv?uuid=
